,feature,mean,scale
0,PROGENy::Androgen,-0.22158095981781614,0.042956240612703506
1,PROGENy::EGFR,-0.12271922568656794,0.10038572669734121
2,PROGENy::Estrogen,0.05534867938403683,0.18859079661092226
3,PROGENy::Hypoxia,-1.418883857573867,0.19461599146864633
4,PROGENy::JAK-STAT,-0.07367561226665686,0.13991663942880858
5,PROGENy::MAPK,0.47189355567904173,0.13748577233092155
6,PROGENy::NFkB,-0.972464442440644,0.19316045571161297
7,PROGENy::PI3K,0.7885892025893689,0.18630428934446341
8,PROGENy::TGFb,0.17130903469421996,0.05992312030263717
9,PROGENy::TNFa,-0.5350140303915489,0.179599810399257
10,PROGENy::Trail,-0.3591058567308226,0.04627785116892927
11,PROGENy::VEGF,0.6445509266969134,0.08071185814901444
12,PROGENy::WNT,0.07821433246346662,0.04397216586083235
13,PROGENy::p53,-1.8022073531857168,0.23431189528451687
14,Hallmark::HALLMARK_ADIPOGENESIS,0.2332820461311369,0.02931118147388115
15,Hallmark::HALLMARK_ALLOGRAFT_REJECTION,0.188643689163326,0.05334610522158059
16,Hallmark::HALLMARK_ANDROGEN_RESPONSE,0.2105453696428926,0.033470258548637
17,Hallmark::HALLMARK_ANGIOGENESIS,0.18457099181081554,0.15434701568808776
18,Hallmark::HALLMARK_APICAL_JUNCTION,0.20015029309741636,0.06347424065139838
19,Hallmark::HALLMARK_APICAL_SURFACE,0.14094044519356452,0.07932275043842822
20,Hallmark::HALLMARK_APOPTOSIS,0.19672612647662116,0.05755150313346272
21,Hallmark::HALLMARK_BILE_ACID_METABOLISM,0.03179524068533251,0.044825466219440266
22,Hallmark::HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.2014575167397335,0.06285943345205168
23,Hallmark::HALLMARK_COAGULATION,0.1225064463188566,0.12413764886309477
24,Hallmark::HALLMARK_COMPLEMENT,0.12347123562649921,0.06856777621995983
25,Hallmark::HALLMARK_DNA_REPAIR,0.2577543135009693,0.02108938923406037
26,Hallmark::HALLMARK_E2F_TARGETS,0.2884290047072038,0.06929305571265539
27,Hallmark::HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.18202857433089484,0.16266259704210792
28,Hallmark::HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04519950947908803,0.05514784168271236
29,Hallmark::HALLMARK_ESTROGEN_RESPONSE_LATE,0.1261003667447323,0.0487179214573815
30,Hallmark::HALLMARK_FATTY_ACID_METABOLISM,0.24009669829535335,0.033176655623592365
31,Hallmark::HALLMARK_G2M_CHECKPOINT,0.25500112539103853,0.05791912567002546
32,Hallmark::HALLMARK_GLYCOLYSIS,0.20526079798157792,0.041725941119552384
33,Hallmark::HALLMARK_HEDGEHOG_SIGNALING,0.0386166654336453,0.07293200820073886
34,Hallmark::HALLMARK_HEME_METABOLISM,0.08685078066923749,0.030199338563559424
35,Hallmark::HALLMARK_HYPOXIA,0.1462201285535698,0.06966764484200354
36,Hallmark::HALLMARK_IL2_STAT5_SIGNALING,0.09055039618336073,0.07679448807775592
37,Hallmark::HALLMARK_IL6_JAK_STAT3_SIGNALING,0.08856048643294878,0.09369996926368473
