,feature,mean,scale
0,PROGENy::Androgen,-0.21679368800362045,0.030406426090715324
1,PROGENy::EGFR,-0.3766032366102761,0.0740337600052143
2,PROGENy::Estrogen,-0.23793800122917114,0.1443803112311992
3,PROGENy::Hypoxia,-1.2179680473717889,0.16065566337986856
4,PROGENy::JAK-STAT,0.05210693710606602,0.07779914352774694
5,PROGENy::MAPK,0.2904773785424627,0.10369372649736756
6,PROGENy::NFkB,-0.8614156354573554,0.15557057151783207
7,PROGENy::PI3K,0.4462793865020097,0.11974372667545259
8,PROGENy::TGFb,0.22495342142545177,0.041860294752173614
9,PROGENy::TNFa,-0.3713472433874194,0.12887747489170404
10,PROGENy::Trail,-0.2970130589997036,0.03902170992877825
11,PROGENy::VEGF,0.6930670903498737,0.0586920451259806
12,PROGENy::WNT,-0.008404560980135365,0.03261908976548587
13,PROGENy::p53,-1.6646008660679352,0.1905909154452812
14,Hallmark::HALLMARK_ADIPOGENESIS,0.23477078746211977,0.03637624795536079
15,Hallmark::HALLMARK_ALLOGRAFT_REJECTION,0.4355797277712827,0.03691876986727295
16,Hallmark::HALLMARK_ANDROGEN_RESPONSE,0.27050534264176584,0.02910381236445302
17,Hallmark::HALLMARK_ANGIOGENESIS,0.07410521653885857,0.12562206376238774
18,Hallmark::HALLMARK_APICAL_JUNCTION,0.22781264468827206,0.029983679100782288
19,Hallmark::HALLMARK_APICAL_SURFACE,0.240428375846403,0.0895606601749528
20,Hallmark::HALLMARK_APOPTOSIS,0.3317985917923814,0.05271233853057871
21,Hallmark::HALLMARK_BILE_ACID_METABOLISM,0.014711736443945845,0.03876024514267084
22,Hallmark::HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.1323918359379858,0.06943351130851898
23,Hallmark::HALLMARK_COAGULATION,0.15275100966499006,0.07812731725026122
24,Hallmark::HALLMARK_COMPLEMENT,0.280390458905051,0.07690426119709189
25,Hallmark::HALLMARK_DNA_REPAIR,0.23444122719429422,0.03611202663396503
26,Hallmark::HALLMARK_E2F_TARGETS,0.16803711228520044,0.10573683167284136
27,Hallmark::HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.20503661438379456,0.060308589338814333
28,Hallmark::HALLMARK_ESTROGEN_RESPONSE_EARLY,0.17280867866110947,0.03879426961226565
29,Hallmark::HALLMARK_ESTROGEN_RESPONSE_LATE,0.1478047466302611,0.041960260332000274
30,Hallmark::HALLMARK_FATTY_ACID_METABOLISM,0.22300161919061154,0.04319825883852778
31,Hallmark::HALLMARK_G2M_CHECKPOINT,0.20975760343037328,0.08597907804731605
32,Hallmark::HALLMARK_GLYCOLYSIS,0.14009499807635392,0.036462614840323156
33,Hallmark::HALLMARK_HEDGEHOG_SIGNALING,0.24617523410939515,0.04865497636642062
34,Hallmark::HALLMARK_HEME_METABOLISM,0.20960481543876303,0.06931335104961439
35,Hallmark::HALLMARK_HYPOXIA,0.31168658108579494,0.06227101996811067
36,Hallmark::HALLMARK_IL2_STAT5_SIGNALING,0.21246452838419594,0.052606730502672644
37,Hallmark::HALLMARK_IL6_JAK_STAT3_SIGNALING,0.34963501865427604,0.08844922843875112
38,Hallmark::HALLMARK_INFLAMMATORY_RESPONSE,0.30647484500940475,0.08461091952096632
39,Hallmark::HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2909068175364928,0.10085637909285043
40,Hallmark::HALLMARK_INTERFERON_GAMMA_RESPONSE,0.32086429303197433,0.08422427930664297
41,Hallmark::HALLMARK_KRAS_SIGNALING_DN,-0.07371354055162756,0.06940433737051908
42,Hallmark::HALLMARK_KRAS_SIGNALING_UP,0.10962971863247159,0.06252053426071175
43,Hallmark::HALLMARK_MITOTIC_SPINDLE,0.1572958395000207,0.03994032803252474
44,Hallmark::HALLMARK_MTORC1_SIGNALING,0.28531376613738657,0.04113430882038318
45,Hallmark::HALLMARK_MYC_TARGETS_V1,0.5340097177243508,0.055470842219720214
46,Hallmark::HALLMARK_MYC_TARGETS_V2,0.13279167461897576,0.10868804542462943
47,Hallmark::HALLMARK_MYOGENESIS,0.13250660158555289,0.0518718129090431
